Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,QUALCOMM Inc.,34783441,1357945537,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,eBay Inc.,8735006,803096452,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Intel Corporation,39785607,798099276,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Cisco Systems, Inc.",42794203,774575074,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Amgen Inc.,10452430,592443732,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Nextel Communications, Inc.",24594703,586337720,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Dell Inc.,16266090,579072804,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Comcast Corporation,16854182,475962100,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Starbucks Corporation,9790924,445095405,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Oracle Corporation,38189869,430781722,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Biogen Idec, Inc.",6515895,398577297,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Yahoo! Inc.,11589723,393007507,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Apple Computer, Inc.",9590778,371642648,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Maxim Integrated Products, Inc.",8062954,340982325,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Symantec Corporation,5839904,320493932,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Biomet, Inc.",6058975,284044748,485BPOS,SEC,text-schedule,reported-as-of
