Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2021-06-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|FB|TSLA|GOOGL|NVDA|PYPL,0.225008|0.201592|0.177528|0.083405|0.081144|0.075431|0.074674|0.071218|0.010000,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PYPL|TSLA
2021-09-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|GOOG|FB|GOOGL|NVDA|PYPL,0.221604|0.207424|0.159390|0.084898|0.083487|0.079525|0.078343|0.075331|0.010000,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PYPL|TSLA
2021-12-20,9,AAPL,True,Recon,AAPL|MSFT|AMZN|FB|NVDA|GOOG|GOOGL|TSLA|AVGO,0.256078|0.220851|0.155824|0.106032|0.089673|0.083207|0.078335|0.005000|0.005000,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2022-03-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|FB|TSLA|COST,0.268879|0.223435|0.163737|0.093705|0.085829|0.081564|0.072851|0.005000|0.005000,AAPL|AMZN|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2022-06-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|TSLA|META|PEP,0.300000|0.265577|0.154961|0.096937|0.092414|0.080111|0.003333|0.003333|0.003333,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PEP|TSLA
2022-09-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|TSLA|META|PEP,0.300000|0.261025|0.181781|0.091612|0.088459|0.067122|0.003333|0.003333|0.003333,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PEP|TSLA
2022-12-19,9,MSFT,True,Recon,MSFT|AAPL|AMZN|GOOG|GOOGL|NVDA|TSLA|META|PEP,0.275343|0.261257|0.133635|0.083694|0.083053|0.080016|0.073002|0.005000|0.005000,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PEP|TSLA
2023-03-20,9,MSFT,True,Rebal,MSFT|AAPL|AMZN|NVDA|GOOGL|GOOG|TSLA|META|AVGO,0.260990|0.259051|0.129494|0.107334|0.079469|0.078674|0.074988|0.005000|0.005000,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2023-06-19,9,MSFT,True,Rebal,MSFT|AAPL|NVDA|AMZN|TSLA|GOOGL|GOOG|META|AVGO,0.255228|0.235547|0.137742|0.129644|0.083147|0.075316|0.073375|0.005000|0.005000,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2023-09-18,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA|GOOGL|GOOG|META|AVGO,0.269383|0.236699|0.139829|0.105138|0.081519|0.079389|0.078044|0.005000|0.005000,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
