rank,allocation_id,method,trigger,ema_span,review,crash_threshold,trailing_stop,derisk,cooldown,test_cagr,test_max_drawdown,test_cagr_delta,test_dd_delta,selection_score
consensus-10,,CONSENSUS,combined,200,Monthly,0.125,0.0,0.5,0,,,-0.005772750495416257,0.0451299229948558,0.011015115199321997
consensus-11,,CONSENSUS,ema,150,Monthly,0.0,0.15,0.5,20,,,-0.005550512150911624,0.03809509401892858,-0.00314481835556786
consensus-12,,CONSENSUS,combined,150,Monthly,0.15,0.15,0.5,0,,,-0.008202574238389437,0.03740823295842344,0.005457864359864355
consensus-13,,CONSENSUS,crash,100,Monthly,0.15,0.15,0.5,20,,,-0.005271730332278013,0.028721282222528566,-0.011892655086607445
consensus-14,,CONSENSUS,crash,100,Weekly,0.15,0.15,0.5,20,,,-0.006814636995695178,0.029857176013502573,0.006026990871243866
consensus-15,,CONSENSUS,crash,100,Weekly,0.15,0.0,0.5,60,,,-0.006814050907051561,0.028684984282039694,-0.0002337633349870416
consensus-16,,CONSENSUS,crash,100,Daily,0.15,0.0,0.5,20,,,-0.002318203623298043,0.015209269086648769,0.01331618936211819
consensus-17,,CONSENSUS,crash,100,Daily,0.0,0.0,1.0,60,,,0.0,0.0,0.0
consensus-18,,CONSENSUS,crash,100,Weekly,0.0,0.0,1.0,60,,,0.0,0.0,0.0
consensus-19,,CONSENSUS,crash,100,Monthly,0.15,0.0,0.5,60,,,-0.006634539097400971,0.01619715111457387,0.0003157243171058018
consensus-20,,CONSENSUS,crash,100,Weekly,0.0,0.15,0.5,60,,,-0.0028371020178269424,0.0,-0.019596549954484472
consensus-21,,CONSENSUS,crash,100,Monthly,0.0,0.15,0.5,60,,,-0.0066310970425509375,0.01011391049205762,-0.020959460428131415
